board_id,active,from_parametercode,from_hoedanigheid,from_limietsymbool,from_eenheid,to_parametercode,to_hoedanigheid,to_limietsymbool,to_eenheid,support_rows,method
rivierenland,true,4100,nvt,<,ug/l,fle,nvt,<,ug/l,885,summary_equal_count_minmax_unique
rivierenland,true,1050,n,<,mg/l,nh3,n,<,mg/l,884,summary_equal_count_minmax_unique
rivierenland,true,1101,nf,"",mg/l,s,nf,"",mg/l,868,summary_equal_count_minmax_unique
rivierenland,true,4141,nvt,<,ug/l,124tclben,nvt,<,ug/l,851,summary_equal_count_minmax_unique
rivierenland,true,4284,nvt,<,ug/l,bentzn,nvt,<,ug/l,846,summary_equal_count_minmax_unique
rivierenland,true,4104,nvt,"",ug/l,flu,nvt,"",ug/l,843,summary_equal_count_minmax_unique
rivierenland,true,4043,nvt,<,ug/l,endn,nvt,<,ug/l,833,summary_equal_count_minmax_unique
rivierenland,true,4536,nvt,<,ug/l,metbtazrn,nvt,<,ug/l,822,summary_equal_count_minmax_unique
rivierenland,true,4665,nvt,<,ug/l,tefbzrn,nvt,<,ug/l,810,summary_equal_count_minmax_unique
rivierenland,true,4331,nvt,<,ug/l,cpyrfnx,nvt,<,ug/l,805,summary_equal_count_minmax_unique
rivierenland,true,4031,nvt,<,ug/l,44ddt,nvt,<,ug/l,802,summary_equal_count_minmax_unique
rivierenland,true,4030,nvt,<,ug/l,44dde,nvt,<,ug/l,784,summary_equal_count_minmax_unique
rivierenland,true,4048,nvt,<,ug/l,idn,nvt,<,ug/l,783,summary_equal_count_minmax_unique
rivierenland,true,4045,nvt,<,ug/l,hpcl,nvt,<,ug/l,776,summary_equal_count_minmax_unique
rivierenland,true,4674,nvt,<,ug/l,t4clvfs,nvt,<,ug/l,774,summary_equal_count_minmax_unique
rivierenland,true,4032,nvt,<,ug/l,aldn,nvt,<,ug/l,771,summary_equal_count_minmax_unique
rivierenland,true,4040,nvt,<,ug/l,dieldn,nvt,<,ug/l,770,summary_equal_count_minmax_unique
rivierenland,true,4241,nvt,<,ug/l,mcpa,nvt,<,ug/l,769,summary_equal_count_minmax_unique
rivierenland,true,4249,nvt,<,ug/l,44ddd,nvt,<,ug/l,769,summary_equal_count_minmax_unique
rivierenland,true,4604,nvt,<,ug/l,propmcb,nvt,<,ug/l,765,summary_equal_count_minmax_unique
rivierenland,true,4029,nvt,<,ug/l,24ddt,nvt,<,ug/l,753,summary_equal_count_minmax_unique
rivierenland,true,4389,nvt,<,ug/l,dfbzrn,nvt,<,ug/l,743,summary_equal_count_minmax_unique
rivierenland,true,4039,nvt,<,ug/l,dhch,nvt,<,ug/l,742,summary_equal_count_minmax_unique
